Estimator: 001 | Epoch: 001 | Batch: 900 | Loss: 0.80679 | Correct: 22/32
Estimator: 002 | Epoch: 001 | Batch: 000 | Loss: 1.03992 | Correct: 17/32
Estimator: 002 | Epoch: 001 | Batch: 100 | Loss: 0.93764 | Correct: 18/32
Estimator: 002 | Epoch: 001 | Batch: 200 | Loss: 1.06028 | Correct: 14/32
Estimator: 002 | Epoch: 001 | Batch: 300 | Loss: 0.95983 | Correct: 21/32
Estimator: 002 | Epoch: 001 | Batch: 400 | Loss: 0.83974 | Correct: 21/32
Estimator: 002 | Epoch: 001 | Batch: 500 | Loss: 0.81953 | Correct: 18/32
Estimator: 002 | Epoch: 001 | Batch: 600 | Loss: 0.93486 | Correct: 15/32
Estimator: 002 | Epoch: 001 | Batch: 700 | Loss: 0.78046 | Correct: 22/32
Estimator: 002 | Epoch: 001 | Batch: 800 | Loss: 1.05108 | Correct: 19/32
Estimator: 002 | Epoch: 001 | Batch: 900 | Loss: 0.97922 | Correct: 18/32
Estimator: 003 | Epoch: 001 | Batch: 000 | Loss: 0.99550 | Correct: 21/32
Estimator: 003 | Epoch: 001 | Batch: 100 | Loss: 0.93742 | Correct: 20/32
Estimator: 003 | Epoch: 001 | Batch: 200 | Loss: 1.05285 | Correct: 16/32
Estimator: 003 | Epoch: 001 | Batch: 300 | Loss: 0.95616 | Correct: 18/32
Estimator: 003 | Epoch: 001 | Batch: 400 | Loss: 1.10184 | Correct: 17/32
Estimator: 003 | Epoch: 001 | Batch: 500 | Loss: 1.07811 | Correct: 16/32
Estimator: 003 | Epoch: 001 | Batch: 600 | Loss: 1.07541 | Correct: 18/32
Estimator: 003 | Epoch: 001 | Batch: 700 | Loss: 0.95816 | Correct: 19/32
Estimator: 003 | Epoch: 001 | Batch: 800 | Loss: 1.41315 | Correct: 13/32
Estimator: 003 | Epoch: 001 | Batch: 900 | Loss: 0.83076 | Correct: 20/32
Estimator: 004 | Epoch: 001 | Batch: 000 | Loss: 1.10096 | Correct: 17/32
Estimator: 004 | Epoch: 001 | Batch: 100 | Loss: 1.08739 | Correct: 15/32
Estimator: 004 | Epoch: 001 | Batch: 200 | Loss: 1.27419 | Correct: 12/32
Estimator: 004 | Epoch: 001 | Batch: 300 | Loss: 1.07409 | Correct: 20/32
Estimator: 004 | Epoch: 001 | Batch: 400 | Loss: 1.06210 | Correct: 18/32
Estimator: 004 | Epoch: 001 | Batch: 500 | Loss: 1.19165 | Correct: 17/32
Estimator: 004 | Epoch: 001 | Batch: 600 | Loss: 0.75128 | Correct: 20/32
Estimator: 004 | Epoch: 001 | Batch: 700 | Loss: 1.06327 | Correct: 18/32
Estimator: 004 | Epoch: 001 | Batch: 800 | Loss: 1.18108 | Correct: 15/32
Estimator: 004 | Epoch: 001 | Batch: 900 | Loss: 0.89078 | Correct: 19/32
Estimator: 000 | Epoch: 002 | Batch: 000 | Loss: 0.87267 | Correct: 21/32
Estimator: 000 | Epoch: 002 | Batch: 100 | Loss: 0.61109 | Correct: 26/32
Estimator: 000 | Epoch: 002 | Batch: 200 | Loss: 0.67877 | Correct: 25/32
Estimator: 000 | Epoch: 002 | Batch: 300 | Loss: 0.95926 | Correct: 19/32
Estimator: 000 | Epoch: 002 | Batch: 400 | Loss: 0.69166 | Correct: 23/32
Estimator: 000 | Epoch: 002 | Batch: 500 | Loss: 0.57120 | Correct: 23/32
Estimator: 000 | Epoch: 002 | Batch: 600 | Loss: 0.64159 | Correct: 22/32
Estimator: 000 | Epoch: 002 | Batch: 700 | Loss: 0.57796 | Correct: 25/32
Estimator: 000 | Epoch: 002 | Batch: 800 | Loss: 0.65174 | Correct: 24/32
